date,year,month,day
2020-03-22T00:00:00.000+01:00,2020,3,22
2020-03-23T00:00:00.000+01:00,2020,3,23
2020-03-24T00:00:00.000+01:00,2020,3,24
2020-03-25T00:00:00.000+01:00,2020,3,25
2020-03-26T00:00:00.000+01:00,2020,3,26
2020-03-27T00:00:00.000+01:00,2020,3,27
2020-03-28T00:00:00.000+01:00,2020,3,28
2020-03-30T00:00:00.000+02:00,2020,3,30
2020-03-31T00:00:00.000+02:00,2020,3,31
2020-04-01T00:00:00.000+02:00,2020,4,1
2020-04-02T00:00:00.000+02:00,2020,4,2
2020-04-03T00:00:00.000+02:00,2020,4,3
2020-04-04T00:00:00.000+02:00,2020,4,4
2020-04-06T00:00:00.000+02:00,2020,4,6
2020-04-07T00:00:00.000+02:00,2020,4,7
2020-04-08T00:00:00.000+02:00,2020,4,8
2020-04-09T00:00:00.000+02:00,2020,4,9
2020-04-10T00:00:00.000+02:00,2020,4,10
2020-04-12T00:00:00.000+02:00,2020,4,12
2020-04-13T00:00:00.000+02:00,2020,4,13
2020-04-14T00:00:00.000+02:00,2020,4,14
2020-04-15T00:00:00.000+02:00,2020,4,15
2020-04-16T00:00:00.000+02:00,2020,4,16
2020-04-17T00:00:00.000+02:00,2020,4,17
2020-04-18T00:00:00.000+02:00,2020,4,18
2020-04-20T00:00:00.000+02:00,2020,4,20
2020-04-21T00:00:00.000+02:00,2020,4,21
2020-04-22T00:00:00.000+02:00,2020,4,22
2020-04-23T00:00:00.000+02:00,2020,4,23
2020-04-24T00:00:00.000+02:00,2020,4,24
2020-04-26T00:00:00.000+02:00,2020,4,26
2020-04-27T00:00:00.000+02:00,2020,4,27
2020-04-28T00:00:00.000+02:00,2020,4,28
2020-04-29T00:00:00.000+02:00,2020,4,29
2020-04-30T00:00:00.000+02:00,2020,4,30
2020-05-01T00:00:00.000+02:00,2020,5,1
2020-05-02T00:00:00.000+02:00,2020,5,2
2020-05-04T00:00:00.000+02:00,2020,5,4
2020-05-05T00:00:00.000+02:00,2020,5,5
2020-05-06T00:00:00.000+02:00,2020,5,6
2020-05-07T00:00:00.000+02:00,2020,5,7
2020-05-08T00:00:00.000+02:00,2020,5,8
2020-05-09T00:00:00.000+02:00,2020,5,9
2020-05-11T00:00:00.000+02:00,2020,5,11
2020-05-12T00:00:00.000+02:00,2020,5,12
2020-05-13T00:00:00.000+02:00,2020,5,13
2020-05-14T00:00:00.000+02:00,2020,5,14
2020-05-15T00:00:00.000+02:00,2020,5,15
2020-05-16T00:00:00.000+02:00,2020,5,16
2020-05-17T00:00:00.000+02:00,2020,5,17
2020-05-18T00:00:00.000+02:00,2020,5,18
2020-05-19T00:00:00.000+02:00,2020,5,19
2020-05-20T00:00:00.000+02:00,2020,5,20
2020-05-21T00:00:00.000+02:00,2020,5,21
2020-05-22T00:00:00.000+02:00,2020,5,22
2020-05-23T00:00:00.000+02:00,2020,5,23
2020-05-24T00:00:00.000+02:00,2020,5,24
2020-05-25T00:00:00.000+02:00,2020,5,25
2020-05-26T00:00:00.000+02:00,2020,5,26
2020-05-27T00:00:00.000+02:00,2020,5,27
2020-05-28T00:00:00.000+02:00,2020,5,28
2020-05-29T00:00:00.000+02:00,2020,5,29
2020-05-30T00:00:00.000+02:00,2020,5,30
2020-06-01T00:00:00.000+02:00,2020,6,1
2020-06-02T00:00:00.000+02:00,2020,6,2
2020-06-03T00:00:00.000+02:00,2020,6,3
2020-06-04T00:00:00.000+02:00,2020,6,4
2020-06-05T00:00:00.000+02:00,2020,6,5
2020-06-06T00:00:00.000+02:00,2020,6,6
2020-06-08T00:00:00.000+02:00,2020,6,8
2020-06-09T00:00:00.000+02:00,2020,6,9
2020-06-10T00:00:00.000+02:00,2020,6,10
2020-06-11T00:00:00.000+02:00,2020,6,11
2020-06-12T00:00:00.000+02:00,2020,6,12
2020-06-13T00:00:00.000+02:00,2020,6,13
2020-06-14T00:00:00.000+02:00,2020,6,14
2020-06-15T00:00:00.000+02:00,2020,6,15
2020-06-16T00:00:00.000+02:00,2020,6,16
2020-06-17T00:00:00.000+02:00,2020,6,17
2020-06-18T00:00:00.000+02:00,2020,6,18
2020-06-19T00:00:00.000+02:00,2020,6,19
2020-06-20T00:00:00.000+02:00,2020,6,20
2020-06-21T00:00:00.000+02:00,2020,6,21
2020-06-22T00:00:00.000+02:00,2020,6,22
2020-06-23T00:00:00.000+02:00,2020,6,23
2020-06-24T00:00:00.000+02:00,2020,6,24
2020-06-25T00:00:00.000+02:00,2020,6,25
2020-06-26T00:00:00.000+02:00,2020,6,26
2020-06-27T00:00:00.000+02:00,2020,6,27
2020-06-28T00:00:00.000+02:00,2020,6,28
2020-06-29T00:00:00.000+02:00,2020,6,29
2020-06-30T00:00:00.000+02:00,2020,6,30
2020-07-01T00:00:00.000+02:00,2020,7,1
2020-07-02T00:00:00.000+02:00,2020,7,2
2020-07-03T00:00:00.000+02:00,2020,7,3
2020-07-04T00:00:00.000+02:00,2020,7,4
2020-07-05T00:00:00.000+02:00,2020,7,5
2020-07-06T00:00:00.000+02:00,2020,7,6
2020-07-07T00:00:00.000+02:00,2020,7,7
2020-07-08T00:00:00.000+02:00,2020,7,8
2020-07-09T00:00:00.000+02:00,2020,7,9
2020-07-10T00:00:00.000+02:00,2020,7,10
2020-07-11T00:00:00.000+02:00,2020,7,11
2020-07-12T00:00:00.000+02:00,2020,7,12
2020-07-13T00:00:00.000+02:00,2020,7,13
2020-07-14T00:00:00.000+02:00,2020,7,14
2020-07-15T00:00:00.000+02:00,2020,7,15
2020-07-16T00:00:00.000+02:00,2020,7,16
2020-07-17T00:00:00.000+02:00,2020,7,17
2020-07-18T00:00:00.000+02:00,2020,7,18
2020-07-20T00:00:00.000+02:00,2020,7,20
2020-07-21T00:00:00.000+02:00,2020,7,21
2020-07-22T00:00:00.000+02:00,2020,7,22
2020-07-23T00:00:00.000+02:00,2020,7,23
2020-07-24T00:00:00.000+02:00,2020,7,24
2020-07-25T00:00:00.000+02:00,2020,7,25
2020-07-26T00:00:00.000+02:00,2020,7,26
2020-07-27T00:00:00.000+02:00,2020,7,27
2020-07-28T00:00:00.000+02:00,2020,7,28
2020-07-29T00:00:00.000+02:00,2020,7,29
2020-07-30T00:00:00.000+02:00,2020,7,30
2020-07-31T00:00:00.000+02:00,2020,7,31
2020-08-01T00:00:00.000+02:00,2020,8,1
2020-08-03T00:00:00.000+02:00,2020,8,3
2020-08-04T00:00:00.000+02:00,2020,8,4
2020-08-05T00:00:00.000+02:00,2020,8,5
2020-08-06T00:00:00.000+02:00,2020,8,6
2020-08-07T00:00:00.000+02:00,2020,8,7
2020-08-08T00:00:00.000+02:00,2020,8,8
2020-08-09T00:00:00.000+02:00,2020,8,9
2020-08-10T00:00:00.000+02:00,2020,8,10
2020-08-11T00:00:00.000+02:00,2020,8,11
2020-08-12T00:00:00.000+02:00,2020,8,12
2020-08-13T00:00:00.000+02:00,2020,8,13
2020-08-14T00:00:00.000+02:00,2020,8,14
2020-08-15T00:00:00.000+02:00,2020,8,15
2020-08-16T00:00:00.000+02:00,2020,8,16
2020-08-17T00:00:00.000+02:00,2020,8,17
2020-08-18T00:00:00.000+02:00,2020,8,18
2020-08-19T00:00:00.000+02:00,2020,8,19
2020-08-20T00:00:00.000+02:00,2020,8,20
2020-08-21T00:00:00.000+02:00,2020,8,21
2020-08-22T00:00:00.000+02:00,2020,8,22
2020-08-23T00:00:00.000+02:00,2020,8,23
2020-08-24T00:00:00.000+02:00,2020,8,24
2020-08-25T00:00:00.000+02:00,2020,8,25
2020-08-26T00:00:00.000+02:00,2020,8,26
2020-08-27T00:00:00.000+02:00,2020,8,27
2020-08-28T00:00:00.000+02:00,2020,8,28
2020-08-29T00:00:00.000+02:00,2020,8,29
2020-08-30T00:00:00.000+02:00,2020,8,30
2020-08-31T00:00:00.000+02:00,2020,8,31
2020-09-01T00:00:00.000+02:00,2020,9,1
2020-09-02T00:00:00.000+02:00,2020,9,2
2020-09-03T00:00:00.000+02:00,2020,9,3
2020-09-04T00:00:00.000+02:00,2020,9,4
2020-09-05T00:00:00.000+02:00,2020,9,5
2020-09-07T00:00:00.000+02:00,2020,9,7
2020-09-08T00:00:00.000+02:00,2020,9,8
2020-09-09T00:00:00.000+02:00,2020,9,9
2020-09-10T00:00:00.000+02:00,2020,9,10
2020-09-11T00:00:00.000+02:00,2020,9,11
2020-09-12T00:00:00.000+02:00,2020,9,12
2020-09-14T00:00:00.000+02:00,2020,9,14
2020-09-15T00:00:00.000+02:00,2020,9,15
2020-09-17T00:00:00.000+02:00,2020,9,17
2020-09-18T00:00:00.000+02:00,2020,9,18
2020-09-19T00:00:00.000+02:00,2020,9,19
2020-09-21T00:00:00.000+02:00,2020,9,21
2020-09-22T00:00:00.000+02:00,2020,9,22
2020-09-23T00:00:00.000+02:00,2020,9,23
2020-09-24T00:00:00.000+02:00,2020,9,24
2020-09-25T00:00:00.000+02:00,2020,9,25
2020-09-26T00:00:00.000+02:00,2020,9,26
2020-09-27T00:00:00.000+02:00,2020,9,27
2020-09-28T00:00:00.000+02:00,2020,9,28
2020-09-29T00:00:00.000+02:00,2020,9,29
2020-09-30T00:00:00.000+02:00,2020,9,30
2020-10-01T00:00:00.000+02:00,2020,10,1
2020-10-02T00:00:00.000+02:00,2020,10,2
2020-10-03T00:00:00.000+02:00,2020,10,3
2020-10-04T00:00:00.000+02:00,2020,10,4
2020-10-05T00:00:00.000+02:00,2020,10,5
2020-10-06T00:00:00.000+02:00,2020,10,6
2020-10-07T00:00:00.000+02:00,2020,10,7
2020-10-08T00:00:00.000+02:00,2020,10,8
2020-10-09T00:00:00.000+02:00,2020,10,9
2020-10-11T00:00:00.000+02:00,2020,10,11
2020-10-12T00:00:00.000+02:00,2020,10,12
2020-10-13T00:00:00.000+02:00,2020,10,13
2020-10-14T00:00:00.000+02:00,2020,10,14
2020-10-15T00:00:00.000+02:00,2020,10,15
2020-10-16T00:00:00.000+02:00,2020,10,16
2020-10-17T00:00:00.000+02:00,2020,10,17
2020-10-18T00:00:00.000+02:00,2020,10,18
2020-10-19T00:00:00.000+02:00,2020,10,19
2020-10-20T00:00:00.000+02:00,2020,10,20
2020-10-21T00:00:00.000+02:00,2020,10,21
2020-10-22T00:00:00.000+02:00,2020,10,22
2020-10-23T00:00:00.000+02:00,2020,10,23
2020-10-24T00:00:00.000+02:00,2020,10,24
2020-10-25T00:00:00.000+02:00,2020,10,25
2020-10-26T00:00:00.000+01:00,2020,10,26
2020-10-27T00:00:00.000+01:00,2020,10,27
2020-10-28T00:00:00.000+01:00,2020,10,28
2020-10-29T00:00:00.000+01:00,2020,10,29
2020-10-30T00:00:00.000+01:00,2020,10,30
2020-10-31T00:00:00.000+01:00,2020,10,31
2020-11-01T00:00:00.000+01:00,2020,11,1
2020-11-02T00:00:00.000+01:00,2020,11,2
2020-11-03T00:00:00.000+01:00,2020,11,3
2020-11-04T00:00:00.000+01:00,2020,11,4
2020-11-05T00:00:00.000+01:00,2020,11,5
2020-11-06T00:00:00.000+01:00,2020,11,6
2020-11-07T00:00:00.000+01:00,2020,11,7
2020-11-08T00:00:00.000+01:00,2020,11,8
2020-11-09T00:00:00.000+01:00,2020,11,9
2020-11-10T00:00:00.000+01:00,2020,11,10
2020-11-11T00:00:00.000+01:00,2020,11,11
2020-11-12T00:00:00.000+01:00,2020,11,12
2020-11-13T00:00:00.000+01:00,2020,11,13
2020-11-14T00:00:00.000+01:00,2020,11,14
2020-11-16T00:00:00.000+01:00,2020,11,16
2020-11-17T00:00:00.000+01:00,2020,11,17
2020-11-18T00:00:00.000+01:00,2020,11,18
2020-11-19T00:00:00.000+01:00,2020,11,19
2020-11-20T00:00:00.000+01:00,2020,11,20
2020-11-21T00:00:00.000+01:00,2020,11,21
2020-11-23T00:00:00.000+01:00,2020,11,23
2020-11-24T00:00:00.000+01:00,2020,11,24
2020-11-25T00:00:00.000+01:00,2020,11,25
2020-11-26T00:00:00.000+01:00,2020,11,26
2020-11-27T00:00:00.000+01:00,2020,11,27
2020-11-28T00:00:00.000+01:00,2020,11,28
2020-11-30T00:00:00.000+01:00,2020,11,30
2020-12-01T00:00:00.000+01:00,2020,12,1
2020-12-02T00:00:00.000+01:00,2020,12,2
2020-12-03T00:00:00.000+01:00,2020,12,3
2020-12-04T00:00:00.000+01:00,2020,12,4
2020-12-05T00:00:00.000+01:00,2020,12,5
2020-12-07T00:00:00.000+01:00,2020,12,7
2020-12-08T00:00:00.000+01:00,2020,12,8
2020-12-09T00:00:00.000+01:00,2020,12,9
2020-12-10T00:00:00.000+01:00,2020,12,10
2020-12-11T00:00:00.000+01:00,2020,12,11
2020-12-12T00:00:00.000+01:00,2020,12,12
2020-12-14T00:00:00.000+01:00,2020,12,14
2020-12-15T00:00:00.000+01:00,2020,12,15
2020-12-16T00:00:00.000+01:00,2020,12,16
2020-12-17T00:00:00.000+01:00,2020,12,17
2020-12-18T00:00:00.000+01:00,2020,12,18
2020-12-19T00:00:00.000+01:00,2020,12,19
2020-12-21T00:00:00.000+01:00,2020,12,21
2020-12-22T00:00:00.000+01:00,2020,12,22
2020-12-23T00:00:00.000+01:00,2020,12,23
2020-12-24T00:00:00.000+01:00,2020,12,24
2020-12-26T00:00:00.000+01:00,2020,12,26
2020-12-28T00:00:00.000+01:00,2020,12,28
2020-12-29T00:00:00.000+01:00,2020,12,29
2020-12-30T00:00:00.000+01:00,2020,12,30
2020-12-31T00:00:00.000+01:00,2020,12,31
2021-01-04T00:00:00.000+01:00,2021,1,4
2021-01-05T00:00:00.000+01:00,2021,1,5
2021-01-06T00:00:00.000+01:00,2021,1,6
2021-01-07T00:00:00.000+01:00,2021,1,7
2021-01-08T00:00:00.000+01:00,2021,1,8
2021-01-09T00:00:00.000+01:00,2021,1,9
2021-01-10T00:00:00.000+01:00,2021,1,10
2021-01-11T00:00:00.000+01:00,2021,1,11
2021-01-12T00:00:00.000+01:00,2021,1,12
2021-01-13T00:00:00.000+01:00,2021,1,13
2021-01-14T00:00:00.000+01:00,2021,1,14
2021-01-15T00:00:00.000+01:00,2021,1,15
2021-01-16T00:00:00.000+01:00,2021,1,16
2021-01-18T00:00:00.000+01:00,2021,1,18
2021-01-19T00:00:00.000+01:00,2021,1,19
2021-01-20T00:00:00.000+01:00,2021,1,20
2021-01-21T00:00:00.000+01:00,2021,1,21
2021-01-22T00:00:00.000+01:00,2021,1,22
2021-01-23T00:00:00.000+01:00,2021,1,23
2021-01-25T00:00:00.000+01:00,2021,1,25
2021-01-26T00:00:00.000+01:00,2021,1,26
2021-01-27T00:00:00.000+01:00,2021,1,27
2021-01-28T00:00:00.000+01:00,2021,1,28
2021-01-29T00:00:00.000+01:00,2021,1,29
2021-01-30T00:00:00.000+01:00,2021,1,30
2021-02-01T00:00:00.000+01:00,2021,2,1
2021-02-02T00:00:00.000+01:00,2021,2,2
2021-02-03T00:00:00.000+01:00,2021,2,3
2021-02-04T00:00:00.000+01:00,2021,2,4
2021-02-05T00:00:00.000+01:00,2021,2,5
2021-02-06T00:00:00.000+01:00,2021,2,6
2021-02-07T00:00:00.000+01:00,2021,2,7
2021-02-08T00:00:00.000+01:00,2021,2,8
2021-02-09T00:00:00.000+01:00,2021,2,9
2021-02-10T00:00:00.000+01:00,2021,2,10
2021-02-11T00:00:00.000+01:00,2021,2,11
2021-02-12T00:00:00.000+01:00,2021,2,12
2021-02-13T00:00:00.000+01:00,2021,2,13
2021-02-15T00:00:00.000+01:00,2021,2,15
2021-02-16T00:00:00.000+01:00,2021,2,16
2021-02-17T00:00:00.000+01:00,2021,2,17
2021-02-18T00:00:00.000+01:00,2021,2,18
2021-02-19T00:00:00.000+01:00,2021,2,19
2021-02-20T00:00:00.000+01:00,2021,2,20
2021-02-22T00:00:00.000+01:00,2021,2,22
2021-02-23T00:00:00.000+01:00,2021,2,23
2021-02-24T00:00:00.000+01:00,2021,2,24
2021-02-25T00:00:00.000+01:00,2021,2,25
2021-02-26T00:00:00.000+01:00,2021,2,26
2021-02-27T00:00:00.000+01:00,2021,2,27
2021-03-01T00:00:00.000+01:00,2021,3,1
2021-03-02T00:00:00.000+01:00,2021,3,2
2021-03-03T00:00:00.000+01:00,2021,3,3
2021-03-04T00:00:00.000+01:00,2021,3,4
2021-03-05T00:00:00.000+01:00,2021,3,5
2021-03-06T00:00:00.000+01:00,2021,3,6
2021-03-08T00:00:00.000+01:00,2021,3,8
2021-03-09T00:00:00.000+01:00,2021,3,9
2021-03-10T00:00:00.000+01:00,2021,3,10
2021-03-11T00:00:00.000+01:00,2021,3,11
2021-03-12T00:00:00.000+01:00,2021,3,12
2021-03-13T00:00:00.000+01:00,2021,3,13
2021-03-15T00:00:00.000+01:00,2021,3,15
2021-03-16T00:00:00.000+01:00,2021,3,16
2021-03-17T00:00:00.000+01:00,2021,3,17
2021-03-18T00:00:00.000+01:00,2021,3,18
2021-03-19T00:00:00.000+01:00,2021,3,19
2021-03-20T00:00:00.000+01:00,2021,3,20
2021-03-21T00:00:00.000+01:00,2021,3,21
2021-03-22T00:00:00.000+01:00,2021,3,22
2021-03-23T00:00:00.000+01:00,2021,3,23
2021-03-24T00:00:00.000+01:00,2021,3,24
2021-03-25T00:00:00.000+01:00,2021,3,25
2021-03-26T00:00:00.000+01:00,2021,3,26
2021-03-27T00:00:00.000+01:00,2021,3,27
2021-03-28T00:00:00.000+01:00,2021,3,28
2021-03-29T00:00:00.000+02:00,2021,3,29
2021-03-30T00:00:00.000+02:00,2021,3,30
2021-03-31T00:00:00.000+02:00,2021,3,31
2021-04-01T00:00:00.000+02:00,2021,4,1
2021-04-02T00:00:00.000+02:00,2021,4,2
2021-04-03T00:00:00.000+02:00,2021,4,3
2021-04-05T00:00:00.000+02:00,2021,4,5
2021-04-06T00:00:00.000+02:00,2021,4,6
2021-04-07T00:00:00.000+02:00,2021,4,7
2021-04-08T00:00:00.000+02:00,2021,4,8
2021-04-09T00:00:00.000+02:00,2021,4,9
2021-04-10T00:00:00.000+02:00,2021,4,10
2021-04-11T00:00:00.000+02:00,2021,4,11
2021-04-12T00:00:00.000+02:00,2021,4,12
2021-04-13T00:00:00.000+02:00,2021,4,13
2021-04-14T00:00:00.000+02:00,2021,4,14
2021-04-15T00:00:00.000+02:00,2021,4,15
2021-04-16T00:00:00.000+02:00,2021,4,16
2021-04-17T00:00:00.000+02:00,2021,4,17
2021-04-18T00:00:00.000+02:00,2021,4,18
2021-04-19T00:00:00.000+02:00,2021,4,19
2021-04-20T00:00:00.000+02:00,2021,4,20
2021-04-21T00:00:00.000+02:00,2021,4,21
2021-04-22T00:00:00.000+02:00,2021,4,22
2021-04-23T00:00:00.000+02:00,2021,4,23
2021-04-25T00:00:00.000+02:00,2021,4,25
2021-04-26T00:00:00.000+02:00,2021,4,26
2021-04-27T00:00:00.000+02:00,2021,4,27
2021-04-28T00:00:00.000+02:00,2021,4,28
2021-04-29T00:00:00.000+02:00,2021,4,29
2021-04-30T00:00:00.000+02:00,2021,4,30
2021-05-01T00:00:00.000+02:00,2021,5,1
2021-05-03T00:00:00.000+02:00,2021,5,3
2021-05-04T00:00:00.000+02:00,2021,5,4
2021-05-05T00:00:00.000+02:00,2021,5,5
2021-05-06T00:00:00.000+02:00,2021,5,6
2021-05-07T00:00:00.000+02:00,2021,5,7
2021-05-08T00:00:00.000+02:00,2021,5,8
2021-05-10T00:00:00.000+02:00,2021,5,10
2021-05-11T00:00:00.000+02:00,2021,5,11
2021-05-12T00:00:00.000+02:00,2021,5,12
2021-05-13T00:00:00.000+02:00,2021,5,13
2021-05-14T00:00:00.000+02:00,2021,5,14
2021-05-15T00:00:00.000+02:00,2021,5,15
2021-05-17T00:00:00.000+02:00,2021,5,17
2021-05-18T00:00:00.000+02:00,2021,5,18
2021-05-19T00:00:00.000+02:00,2021,5,19
2021-05-20T00:00:00.000+02:00,2021,5,20
2021-05-21T00:00:00.000+02:00,2021,5,21
2021-05-22T00:00:00.000+02:00,2021,5,22
2021-05-24T00:00:00.000+02:00,2021,5,24
2021-05-25T00:00:00.000+02:00,2021,5,25
2021-05-26T00:00:00.000+02:00,2021,5,26
2021-05-27T00:00:00.000+02:00,2021,5,27
2021-05-28T00:00:00.000+02:00,2021,5,28
2021-05-29T00:00:00.000+02:00,2021,5,29
2021-05-31T00:00:00.000+02:00,2021,5,31
2021-06-01T00:00:00.000+02:00,2021,6,1
2021-06-02T00:00:00.000+02:00,2021,6,2
2021-06-03T00:00:00.000+02:00,2021,6,3
2021-06-04T00:00:00.000+02:00,2021,6,4
2021-06-05T00:00:00.000+02:00,2021,6,5
2021-06-06T00:00:00.000+02:00,2021,6,6
2021-06-07T00:00:00.000+02:00,2021,6,7
2021-06-08T00:00:00.000+02:00,2021,6,8
2021-06-09T00:00:00.000+02:00,2021,6,9
2021-06-10T00:00:00.000+02:00,2021,6,10
2021-06-11T00:00:00.000+02:00,2021,6,11
2021-06-14T00:00:00.000+02:00,2021,6,14
2021-06-15T00:00:00.000+02:00,2021,6,15
2021-06-16T00:00:00.000+02:00,2021,6,16
2021-06-17T00:00:00.000+02:00,2021,6,17
2021-06-18T00:00:00.000+02:00,2021,6,18
2021-06-19T00:00:00.000+02:00,2021,6,19
2021-06-21T00:00:00.000+02:00,2021,6,21
2021-06-22T00:00:00.000+02:00,2021,6,22
2021-06-23T00:00:00.000+02:00,2021,6,23
2021-06-24T00:00:00.000+02:00,2021,6,24
2021-06-25T00:00:00.000+02:00,2021,6,25
2021-06-28T00:00:00.000+02:00,2021,6,28
2021-06-29T00:00:00.000+02:00,2021,6,29
2021-06-30T00:00:00.000+02:00,2021,6,30
2021-07-01T00:00:00.000+02:00,2021,7,1
2021-07-02T00:00:00.000+02:00,2021,7,2
2021-07-03T00:00:00.000+02:00,2021,7,3
2021-07-04T00:00:00.000+02:00,2021,7,4
2021-07-05T00:00:00.000+02:00,2021,7,5
2021-07-06T00:00:00.000+02:00,2021,7,6
2021-07-07T00:00:00.000+02:00,2021,7,7
2021-07-08T00:00:00.000+02:00,2021,7,8
2021-07-09T00:00:00.000+02:00,2021,7,9
2021-07-11T00:00:00.000+02:00,2021,7,11
2021-07-12T00:00:00.000+02:00,2021,7,12
2021-07-13T00:00:00.000+02:00,2021,7,13
2021-07-14T00:00:00.000+02:00,2021,7,14
2021-07-15T00:00:00.000+02:00,2021,7,15
2021-07-16T00:00:00.000+02:00,2021,7,16
2021-07-17T00:00:00.000+02:00,2021,7,17
2021-07-19T00:00:00.000+02:00,2021,7,19
2021-07-20T00:00:00.000+02:00,2021,7,20
2021-07-21T00:00:00.000+02:00,2021,7,21
2021-07-22T00:00:00.000+02:00,2021,7,22
2021-07-23T00:00:00.000+02:00,2021,7,23
2021-07-26T00:00:00.000+02:00,2021,7,26
2021-07-27T00:00:00.000+02:00,2021,7,27
2021-07-28T00:00:00.000+02:00,2021,7,28
2021-07-29T00:00:00.000+02:00,2021,7,29
2021-07-30T00:00:00.000+02:00,2021,7,30
2021-07-31T00:00:00.000+02:00,2021,7,31
2021-08-01T00:00:00.000+02:00,2021,8,1
2021-08-02T00:00:00.000+02:00,2021,8,2
2021-08-03T00:00:00.000+02:00,2021,8,3
2021-08-04T00:00:00.000+02:00,2021,8,4
2021-08-05T00:00:00.000+02:00,2021,8,5
2021-08-06T00:00:00.000+02:00,2021,8,6
2021-08-07T00:00:00.000+02:00,2021,8,7
2021-08-09T00:00:00.000+02:00,2021,8,9
2021-08-10T00:00:00.000+02:00,2021,8,10
2021-08-11T00:00:00.000+02:00,2021,8,11
2021-08-12T00:00:00.000+02:00,2021,8,12
2021-08-13T00:00:00.000+02:00,2021,8,13
2021-08-14T00:00:00.000+02:00,2021,8,14
2021-08-16T00:00:00.000+02:00,2021,8,16
2021-08-17T00:00:00.000+02:00,2021,8,17
2021-08-18T00:00:00.000+02:00,2021,8,18
2021-08-19T00:00:00.000+02:00,2021,8,19
2021-08-20T00:00:00.000+02:00,2021,8,20
2021-08-21T00:00:00.000+02:00,2021,8,21
2021-08-23T00:00:00.000+02:00,2021,8,23
2021-08-24T00:00:00.000+02:00,2021,8,24
2021-08-25T00:00:00.000+02:00,2021,8,25
2021-08-26T00:00:00.000+02:00,2021,8,26
2021-08-27T00:00:00.000+02:00,2021,8,27
2021-08-28T00:00:00.000+02:00,2021,8,28
2021-08-29T00:00:00.000+02:00,2021,8,29
2021-08-30T00:00:00.000+02:00,2021,8,30
2021-08-31T00:00:00.000+02:00,2021,8,31
2021-09-01T00:00:00.000+02:00,2021,9,1
2021-09-02T00:00:00.000+02:00,2021,9,2
2021-09-03T00:00:00.000+02:00,2021,9,3
2021-09-04T00:00:00.000+02:00,2021,9,4
2021-09-05T00:00:00.000+02:00,2021,9,5
2021-09-06T00:00:00.000+02:00,2021,9,6
